Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,8.14,8.19,8.11,8.15,7.35,12298200
2018-01-03,8.12,8.14,8.05,8.07,7.29,10250800
2018-01-04,8.1,8.1,8.01,8.02,7.24,16272000
2018-01-05,8.09,8.19,8.07,8.18,7.38,9813600
2018-01-08,8.19,8.26,8.17,8.24,7.44,11198200
2018-01-09,8.27,8.38,8.27,8.37,7.56,12924400
2018-01-10,8.35,8.57,8.35,8.49,7.67,16472200
2018-01-11,8.57,8.69,8.55,8.64,7.79,35177800
2018-01-12,8.46,8.55,8.36,8.4,7.59,17614000
2018-01-16,8.88,9.12,8.85,8.89,8.03,34275200
2018-01-17,9.05,9.12,9.02,9.06,8.18,25586000
2018-01-18,9.08,9.1,8.91,8.96,8.09,17432600
2018-01-19,8.95,9.01,8.95,8.99,8.12,7706400
2018-01-22,9.03,9.15,8.99,9.15,8.26,19282400
2018-01-23,9.2,9.29,9.18,9.23,8.33,12009000
2018-01-24,9.3,9.35,9.22,9.23,8.33,15833400
2018-01-25,9.27,9.27,9.18,9.23,8.33,9798200
2018-01-26,9.25,9.27,9.16,9.25,8.35,7542800
2018-01-29,9.28,9.34,9.25,9.27,8.37,12540800
2018-01-30,9.11,9.19,9.09,9.12,8.24,12589400
2018-01-31,9.12,9.13,8.98,9.01,8.13,19138600
2018-02-01,9.05,9.05,8.93,8.97,8.09,10878600
2018-02-02,8.93,8.98,8.86,8.88,8.01,15280200
2018-02-05,8.83,8.94,8.66,8.69,7.84,13482400
2018-02-06,8.57,8.77,8.52,8.73,7.89,13102200
2018-02-07,8.69,8.88,8.65,8.74,7.89,9494000
2018-02-08,8.85,8.86,8.55,8.56,7.72,10278800
2018-02-09,8.6,8.77,8.44,8.68,7.84,24858600
2018-02-12,8.64,8.86,8.61,8.81,7.95,18193800
2018-02-13,8.77,8.8,8.68,8.73,7.88,9333400
2018-02-14,8.62,8.78,8.6,8.78,7.93,13086800
2018-02-15,8.82,8.85,8.72,8.81,7.95,10147000
2018-02-16,8.81,8.85,8.78,8.8,7.94,5777800
2018-02-20,8.75,8.86,8.75,8.82,7.96,6754200
2018-02-21,8.89,9.0,8.83,8.84,7.98,8143800
2018-02-22,8.94,8.95,8.85,8.9,8.03,8334600
2018-02-23,8.92,8.98,8.86,8.98,8.11,7406600
2018-02-26,8.91,8.94,8.81,8.84,7.98,7132400
2018-02-27,8.86,8.89,8.76,8.76,7.91,9465000
2018-02-28,8.94,8.98,8.83,8.83,7.97,17073800
2018-03-01,8.85,8.9,8.69,8.75,7.9,10454800
2018-03-02,8.74,8.9,8.73,8.88,8.01,6620800
2018-03-05,8.82,9.02,8.8,9.0,8.12,8560600
2018-03-06,8.97,9.06,8.94,8.99,8.12,12470400
2018-03-07,8.97,8.98,8.9,8.94,8.07,5775000
2018-03-08,8.95,9.02,8.9,9.02,8.14,7832800
2018-03-09,9.02,9.12,9.02,9.08,8.2,9874000
2018-03-12,9.12,9.24,9.12,9.2,8.31,11646600
2018-03-13,9.23,9.27,9.15,9.19,8.3,5638600
2018-03-14,9.23,9.24,9.17,9.19,8.3,5120200
2018-03-15,9.22,9.24,9.15,9.15,8.26,6369400
2018-03-16,9.12,9.2,9.11,9.15,8.26,9818000
2018-03-19,8.96,9.02,8.93,8.99,8.12,11571800
2018-03-20,9.02,9.12,9.01,9.1,8.22,11714000
2018-03-21,9.1,9.12,9.02,9.02,8.14,11720000
2018-03-22,8.96,8.98,8.85,8.85,7.98,12787800
2018-03-23,8.99,9.01,8.86,8.86,8.0,12422200
2018-03-26,8.9,8.99,8.81,8.98,8.11,7530000
2018-03-27,8.97,9.01,8.81,8.86,8.0,8988600
2018-03-28,8.82,8.88,8.75,8.85,7.98,10084400
2018-03-29,8.88,8.98,8.81,8.93,8.06,9813800
2018-04-02,8.9,8.94,8.75,8.77,7.92,8026000
2018-04-03,8.81,8.9,8.77,8.84,7.98,9244800
2018-04-04,8.73,8.93,8.72,8.91,8.05,13969200
2018-04-05,8.97,9.01,8.93,8.94,8.07,9677200
2018-04-06,8.81,8.82,8.69,8.74,7.89,11383800
2018-04-09,8.74,8.78,8.63,8.63,7.79,11558600
2018-04-10,8.69,8.73,8.62,8.66,7.82,16201800
2018-04-11,8.65,8.73,8.63,8.68,7.83,15789400
2018-04-12,9.0,9.11,8.97,9.01,8.13,21398000
2018-04-13,8.56,8.62,8.24,8.31,7.5,49190000
2018-04-16,8.57,8.61,8.48,8.49,7.67,31001800
2018-04-17,8.53,8.54,8.4,8.41,7.6,17462400
2018-04-18,8.49,8.53,8.4,8.47,7.64,24623600
2018-04-19,8.51,8.59,8.45,8.59,7.75,15478000
2018-04-20,8.8,8.84,8.65,8.69,7.84,17252000
2018-04-23,8.81,8.81,8.68,8.71,7.86,19402600
2018-04-24,8.53,8.63,8.5,8.55,7.71,19468600
2018-04-25,8.55,8.69,8.51,8.6,7.77,14151800
2018-04-26,8.69,8.81,8.69,8.73,7.88,9746400
2018-04-27,8.77,8.84,8.77,8.81,7.95,9669800
2018-04-30,8.9,8.93,8.8,8.84,7.98,11187400
2018-05-01,8.81,8.82,8.76,8.82,7.96,6275800
2018-05-02,8.85,8.93,8.82,8.89,8.02,14506800
2018-05-03,8.84,8.86,8.74,8.84,7.98,6899400
2018-05-04,8.76,8.86,8.73,8.83,7.97,9887600
2018-05-07,8.74,8.77,8.68,8.72,7.87,11304000
2018-05-08,8.66,8.73,8.61,8.66,7.82,5599400
2018-05-09,8.72,8.73,8.65,8.73,7.89,4722000
2018-05-10,8.72,8.77,8.69,8.73,7.88,6500400
2018-05-11,8.76,8.84,8.74,8.78,7.93,6216400
2018-05-14,8.81,8.9,8.8,8.82,7.97,7456800
2018-05-15,8.76,8.81,8.69,8.76,7.91,4797800
2018-05-16,8.8,8.82,8.76,8.77,7.92,4999400
